,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,total_registers
135,THOMAS,4220,5998,9,8906,10191,26,102,102,0,134,190,0,31,30,0,122,133,0,1052,1062,7,32315
136,TIFT,3031,4224,20,7413,8631,20,117,117,1,508,537,4,12,13,0,107,138,1,593,576,20,26083
137,TOOMBS,1629,2306,4,5063,5929,15,41,44,0,237,288,1,7,6,0,66,117,0,804,693,6,17256
138,TOWNS,19,25,0,4708,5348,8,15,18,0,36,61,1,10,4,0,47,43,0,294,276,0,10913
139,TREUTLEN,561,765,0,1440,1486,2,5,6,0,11,9,0,1,4,0,4,10,0,111,93,3,4511
140,TROUP,6211,8755,16,12741,14662,29,209,203,1,234,260,4,27,26,0,217,253,5,1495,1291,30,46669
141,TURNER,915,1239,1,1563,1733,2,12,16,0,37,37,0,6,5,0,18,16,0,133,103,2,5838
142,TWIGGS,1235,1389,1,1637,1715,2,5,12,0,19,30,0,8,5,0,32,28,0,202,170,4,6494
143,UNION,31,20,1,8804,9784,14,33,48,0,85,115,0,18,7,0,87,97,0,655,615,7,20421
144,UPSON,2010,2800,9,5701,6437,11,34,38,0,47,60,0,15,9,0,68,80,0,730,630,8,18687
145,WALKER,657,832,1,18071,20693,34,71,81,0,141,165,0,34,40,0,144,195,0,2711,2484,15,46369
146,WALTON,4804,6138,17,23928,26340,43,349,318,4,647,729,3,83,61,1,427,524,6,4371,4244,30,73067
147,WARE,2178,3321,4,6541,7685,16,55,69,0,108,126,0,25,14,0,69,129,0,878,766,9,21993
148,WARREN,933,1210,4,746,790,0,3,6,0,5,7,0,3,3,0,14,12,0,117,72,0,3925
149,WASHINGTON,2654,3779,3,2884,3271,3,19,15,0,22,31,0,10,1,0,32,32,0,376,305,0,13437
150,WAYNE,1249,1807,0,6610,7581,10,37,54,0,139,176,1,11,18,0,72,79,0,779,706,1,19330
151,WEBSTER,348,419,1,430,476,1,1,3,0,4,6,1,1,0,0,7,8,0,17,26,0,1749
152,WHEELER,404,481,0,1084,1159,1,0,2,0,15,13,0,1,1,0,10,7,0,88,73,0,3339
153,WHITE,135,117,0,9312,10059,11,31,39,1,93,105,0,20,31,0,70,65,0,783,714,2,21588
154,WHITFIELD,1040,1159,1,17949,20504,52,238,289,1,4262,4501,16,51,39,0,316,363,2,2672,2469,21,55945
155,WILCOX,570,748,0,1530,1692,1,9,11,0,23,26,0,4,1,0,15,13,0,72,54,1,4770
156,WILKES,1147,1529,6,1894,2016,1,18,17,0,25,24,0,7,7,0,20,35,0,218,171,4,7139
157,WILKINSON,1151,1456,4,1804,1910,3,4,11,0,7,15,0,4,6,0,17,22,0,151,147,0,6712
158,WORTH,1555,2004,4,4769,5092,8,10,24,0,42,45,0,6,9,0,45,40,0,444,346,5,14448
