,county,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c
57,FORSYTH,0.006756,0.007515999999999999,0.0075,0.007652,0.007896,0.008058,0.007927,0.008023,0.008182,0.0063479999999999995,0.007223,0.008,0.007073,0.007295,0.01,0.0067989999999999995,0.00737,0.006154,0.0070019999999999995,0.007254,0.008428
58,FRANKLIN,0.004471,0.005192,0.0,0.007145999999999999,0.007249,0.008,0.006296,0.006,0.0,0.004111,0.0063159999999999996,0.0,0.004762,0.006,0.0,0.003556,0.005082,0.01,0.004331000000000001,0.0049700000000000005,0.0
59,FULTON,0.004609,0.0059370000000000004,0.0036920000000000004,0.007272,0.007504,0.0065439999999999995,0.006770999999999999,0.007045999999999999,0.006842,0.005602,0.0062109999999999995,0.005833,0.0038640000000000002,0.0048330000000000005,0.004,0.005404,0.00601,0.004509,0.005143,0.005917,0.004168
60,GILMER,0.005652000000000001,0.005526,0.0,0.0071400000000000005,0.007290000000000001,0.006923,0.005152,0.006667000000000001,0.0,0.004364,0.005492,0.0,0.004,0.0048,0.0,0.006043999999999999,0.006111,0.005,0.005416,0.006051,0.004
61,GLASCOCK,0.0051849999999999995,0.006711,0.0,0.007844,0.007685,0.01,0.01,0.006667000000000001,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.006667000000000001,0.006,0.0,0.003889,0.0040479999999999995,0.0
62,GLYNN,0.004673,0.005932999999999999,0.005,0.006881999999999999,0.007143999999999999,0.007423999999999999,0.005844,0.006236,0.01,0.0042450000000000005,0.0048590000000000005,0.01,0.005429,0.00507,0.0,0.004809000000000001,0.005012,0.0,0.004524,0.005413,0.004286
63,GORDON,0.004843,0.006301,0.0,0.0068709999999999995,0.007019,0.006667000000000001,0.0062770000000000005,0.005886,0.01,0.0048119999999999994,0.005514,0.01,0.005682,0.005909,0.0,0.004878,0.004762,0.0,0.0028970000000000003,0.003448,0.002857
64,GRADY,0.005235999999999999,0.006583,0.006,0.007349,0.0074529999999999996,0.007778,0.0048,0.0067859999999999995,0.0,0.004091,0.00451,0.0,0.005,0.004118,0.0,0.005789,0.004935,0.005,0.004056000000000001,0.005329999999999999,0.01
65,GREENE,0.005292,0.007093,0.0,0.008270000000000001,0.008325,0.007778,0.00625,0.007736,0.01,0.004444,0.006562,0.0,0.0025,0.007143,0.0,0.006444,0.005,0.01,0.006239,0.006855,0.00625
66,GWINNETT,0.006095000000000001,0.007070000000000001,0.006864,0.007213,0.007511,0.007646999999999999,0.006056000000000001,0.006412,0.0070209999999999995,0.005195000000000001,0.0063219999999999995,0.006552,0.005433,0.005921999999999999,0.006,0.005896,0.006481,0.006552,0.005157,0.006009,0.006555
67,HABERSHAM,0.004244,0.005331,0.0,0.007293000000000001,0.0073939999999999995,0.008,0.003676,0.004341,0.0,0.003679,0.005085999999999999,0.003333,0.004737,0.0044,0.0,0.0046429999999999996,0.005679999999999999,0.0,0.004263,0.004995,0.005
68,HALL,0.0050490000000000005,0.006392999999999999,0.004706,0.007288,0.007526000000000001,0.007421,0.005640999999999999,0.0062369999999999995,0.007273000000000001,0.004275999999999999,0.0055249999999999995,0.006957,0.005913000000000001,0.006422,0.0,0.0051790000000000004,0.006091999999999999,0.003333,0.004099,0.0050149999999999995,0.007027
69,HANCOCK,0.00588,0.007368000000000001,0.003333,0.007494,0.007626000000000001,0.01,0.005714,0.008,0.0,0.006364,0.004,0.0,0.01,0.005,0.0,0.004444,0.0052380000000000005,0.0,0.004294,0.005032,0.01
70,HARALSON,0.004506,0.005757,0.0,0.0068200000000000005,0.006954,0.00619,0.005625,0.006562,0.0,0.005246,0.006034,0.0,0.003636,0.005,0.0,0.0052049999999999996,0.004627000000000001,0.01,0.003655,0.00457,0.0075
71,HARRIS,0.006667000000000001,0.007551000000000001,0.008,0.0076,0.007793000000000001,0.007143,0.006463,0.006712,0.01,0.006494,0.0065650000000000005,0.01,0.007308,0.007619,0.0,0.005749,0.006605,0.0,0.005686,0.006252,0.005
72,HART,0.0053549999999999995,0.0066,0.0,0.007601,0.007585,0.007368000000000001,0.007221999999999999,0.006875,0.0,0.005294,0.005526,0.0,0.0075,0.006999999999999999,0.0,0.005091,0.005,0.0,0.0046619999999999995,0.005592000000000001,0.008
73,HEARD,0.005046,0.007016,0.0,0.006926000000000001,0.0069440000000000005,0.00875,0.006667000000000001,0.007619,0.0,0.005,0.0075,0.01,0.005,0.008333,0.0,0.0040479999999999995,0.0052380000000000005,0.0,0.0035229999999999997,0.004332,0.0
74,HENRY,0.006306000000000001,0.007389,0.007241,0.006967,0.007241,0.007423999999999999,0.00576,0.006271,0.006429000000000001,0.004955,0.005918,0.005385,0.004324,0.006164,0.0,0.005392,0.006352,0.0041670000000000006,0.005461000000000001,0.0064,0.007126
75,HOUSTON,0.005748,0.0067280000000000005,0.0037040000000000003,0.006997,0.007045999999999999,0.006579000000000001,0.005943,0.0064540000000000005,0.006,0.005472,0.005465,0.005714,0.004579,0.005039,0.005,0.005163,0.005809999999999999,0.003,0.004403000000000001,0.005104999999999999,0.005161
76,IRWIN,0.004501,0.006119,0.0,0.007158,0.007311,0.01,0.008182,0.005714,0.0,0.0035479999999999995,0.005588000000000001,0.0,0.005,0.008571,0.0,0.003333,0.004,0.0,0.004050000000000001,0.005059,0.005
77,JACKSON,0.005379,0.006779,0.006,0.007253000000000001,0.007474,0.006977,0.0048969999999999994,0.006095000000000001,0.01,0.005600000000000001,0.006119,0.005,0.005946,0.007940999999999998,0.0,0.005017000000000001,0.006612,0.01,0.004468,0.005023,0.006500000000000001
78,JASPER,0.005495,0.006956,0.0,0.007269,0.00762,0.0075,0.006154,0.006,0.0,0.003676,0.004688,0.0,0.00875,0.006667000000000001,0.0,0.006452,0.005217,0.0,0.003987,0.004118,0.0
79,JEFF DAVIS,0.004673,0.0060209999999999994,0.0,0.006888999999999999,0.007062000000000001,0.0075,0.004286,0.004286,0.0,0.003613,0.004013,0.0,0.0025,0.006667000000000001,0.0,0.002414,0.002903,0.0,0.0032340000000000003,0.0032270000000000003,0.01
80,JEFFERSON,0.005359,0.006984000000000001,0.008,0.00758,0.007687,0.006667000000000001,0.003333,0.003889,0.0,0.005652000000000001,0.006087,0.0,0.004286,0.004286,0.0,0.005385,0.004889,0.01,0.004114,0.004703,0.0075
81,JENKINS,0.004988,0.006546,0.0,0.007122,0.007431,0.005,0.005,0.008333,0.005,0.004286,0.003333,0.0,0.003333,0.003333,0.0,0.001667,0.006429000000000001,0.0,0.0036469999999999996,0.0033520000000000004,0.0
82,JOHNSON,0.0055509999999999995,0.007365999999999999,0.0,0.0077540000000000005,0.007745000000000001,0.003333,0.009167000000000002,0.007143,0.0,0.002857,0.003333,0.0,0.005,0.01,0.0,0.005,0.0,0.0,0.003,0.0042710000000000005,0.0
83,JONES,0.006587999999999999,0.0076430000000000005,0.0,0.007241,0.0074540000000000006,0.007143,0.006,0.006934999999999999,0.0,0.0052380000000000005,0.006750000000000001,0.0,0.006842,0.005294,0.0,0.006071,0.006279,0.0,0.003477,0.0044329999999999994,0.0
84,LAMAR,0.005363,0.006851,0.0,0.007155,0.0074719999999999995,0.0075,0.006842,0.004444,0.0,0.004,0.005,0.0,0.002667,0.008,0.0,0.0042369999999999994,0.006129,0.0,0.004307999999999999,0.005396,0.0
85,LANIER,0.004791,0.00586,0.0,0.006051,0.005861,0.01,0.005333,0.006071,0.0,0.003968,0.004795000000000001,0.0,0.003333,0.006154,0.0,0.005516999999999999,0.004651,0.0,0.004033,0.005223,0.0
86,LAURENS,0.005138,0.006417000000000001,0.0041670000000000006,0.007484000000000001,0.007574999999999999,0.008462,0.0072640000000000005,0.007059000000000001,0.005,0.004452,0.004843,0.0,0.0025,0.004242,0.01,0.005214,0.005621,0.0,0.003796,0.004947999999999999,0.008333
87,LEE,0.006121,0.007056,0.002727,0.007098999999999999,0.007332,0.005333,0.005917,0.0065379999999999995,0.005,0.004925,0.005843,0.005,0.003928999999999999,0.006,0.0,0.0055049999999999995,0.006279,0.0,0.004381,0.005012,0.0036840000000000006
88,LIBERTY,0.0053549999999999995,0.006076000000000001,0.003333,0.005554,0.005626,0.007778,0.0035619999999999996,0.005285,0.0,0.003513,0.003999,0.0,0.003953,0.004614999999999999,0.0,0.004175,0.004484,0.0,0.0026170000000000004,0.00358,0.006667000000000001
89,LINCOLN,0.006313,0.0072640000000000005,0.0,0.007723,0.0077269999999999995,0.0,0.0075,0.005833,0.0,0.005333,0.004286,0.0,0.002857,0.007143,0.0,0.004091,0.006111,0.01,0.00485,0.0061270000000000005,0.0
90,LONG,0.004916,0.005793,0.0,0.006156,0.005932,0.004,0.004583,0.0052439999999999995,0.0,0.003978,0.003876,0.0,0.006667000000000001,0.005789,0.0,0.004949,0.005163999999999999,0.005,0.003135,0.00375,0.005714
91,LOWNDES,0.004325,0.005511,0.004545,0.006293999999999999,0.0064069999999999995,0.005714,0.004966,0.005546,0.003333,0.00386,0.004381,0.01,0.004621,0.004961999999999999,0.0,0.003968,0.004947,0.01,0.0033649999999999995,0.0040149999999999995,0.003023
92,LUMPKIN,0.003426,0.005632000000000001,0.0,0.0069099999999999995,0.007092,0.009000000000000001,0.00619,0.006392999999999999,0.0,0.0045179999999999994,0.005876,0.0,0.005738,0.006739,0.0,0.005524,0.0049570000000000005,0.0,0.004277,0.0048590000000000005,0.007143
93,MACON,0.005333,0.006585,0.0,0.007084999999999999,0.007162999999999999,0.01,0.006222,0.0067859999999999995,0.0,0.0025,0.004717,0.0,0.003333,0.0,0.0,0.002632,0.001364,0.0,0.0041979999999999995,0.005078,0.01
94,MADISON,0.005405,0.007143999999999999,0.0,0.007293999999999999,0.007353000000000001,0.007308,0.006263000000000001,0.006884999999999999,0.0,0.004746,0.005370000000000001,0.0,0.006,0.005217,0.0,0.005,0.006129,0.01,0.004451,0.005123,0.005
95,MARION,0.0059,0.007654000000000001,0.0,0.007506999999999999,0.007351000000000001,0.006,0.004091,0.005600000000000001,0.0,0.005097999999999999,0.006304,0.0,0.005,0.005714,0.0,0.005333,0.006923,0.0,0.0049570000000000005,0.005543,0.01
96,MCDUFFIE,0.005094,0.006563,0.0,0.007170000000000001,0.0072299999999999994,0.0,0.0048,0.005,0.0,0.00403,0.005412,0.0,0.004,0.005714,0.0,0.0048389999999999996,0.005676,0.0,0.005844,0.005352,0.0
97,MCINTOSH,0.0059689999999999995,0.007340000000000001,0.0,0.0069900000000000006,0.006958,0.01,0.004375,0.006470999999999999,0.0,0.004444,0.0034619999999999994,0.0,0.006,0.004545,0.0,0.005526,0.0042,0.0,0.004587,0.005728,0.0
98,MERIWETHER,0.005483,0.007067,0.0,0.00732,0.007443000000000001,0.008333,0.006470999999999999,0.007391,0.0,0.005122,0.005932,0.0,0.005,0.006,0.01,0.005741,0.005440999999999999,0.01,0.003887,0.005434,0.0
99,MILLER,0.004637,0.006182999999999999,0.0,0.007319,0.007536,0.0,0.005,0.0075,0.0,0.004545,0.004444,0.0,0.0,0.006667000000000001,0.0,0.002857,0.003333,0.01,0.003889,0.0042,0.0
