,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
79,JEFF DAVIS,0.1272225099257725,0.8232349387191438,0.0020714655618850335,0.01829794579665113,0.0008631106507854307,0.002761954082513378,0.02554807526324875
80,JEFFERSON,0.47260184823636603,0.46713523363269555,0.0014317323961994012,0.003514252245216712,0.0007809449433814916,0.004815827150852532,0.0497201613952883
81,JENKINS,0.32109826589595375,0.6257225433526011,0.002601156069364162,0.002890173410404624,0.0005780346820809249,0.002890173410404624,0.04421965317919075
82,JOHNSON,0.26895043731778423,0.706268221574344,0.003887269193391642,0.0012147716229348883,0.00048590864917395527,0.0012147716229348883,0.017978620019436346
83,JONES,0.2411314475873544,0.7221297836938436,0.004259567387687188,0.005790349417637271,0.0014642262895174709,0.006988352745424293,0.018236272878535773
84,LAMAR,0.20553534016980923,0.7310618590803837,0.0027566435108611754,0.005844084243025692,0.0017642518469511523,0.006946741647370162,0.04609107950159885
85,LANIER,0.19197548063527445,0.7277793257174701,0.006965728615213151,0.016717748676511563,0.0033435497353023124,0.010030649205906938,0.04318751741432154
86,LAURENS,0.2944761069706269,0.6516878562034195,0.007102148180622534,0.006225339763261727,0.000920648838228847,0.007365190705830776,0.03222270933800964
87,LEE,0.18396901072705601,0.7374851013110846,0.013110846245530394,0.009773539928486293,0.0013706793802145411,0.006793802145411204,0.04749702026221692
88,LIBERTY,0.4697583461377287,0.3667644456860828,0.016529310425105928,0.04739954369790939,0.002467756204311589,0.02076640126647111,0.07631419658239047
89,LINCOLN,0.24443016281062555,0.6934447300771208,0.0021422450728363325,0.0029991431019708655,0.0014995715509854327,0.004498714652956298,0.05098543273350471
90,LONG,0.24714160070360597,0.6021108179419525,0.011433597185576077,0.03975373790677221,0.0036939313984168864,0.019876868953386105,0.07598944591029023
91,LOWNDES,0.2993355267402103,0.6207126421951272,0.011784185966496784,0.018988022278132594,0.0027095026127346624,0.02064382943035933,0.025826290776939122
92,LUMPKIN,0.005508583141173457,0.9144888547271329,0.004163464002049705,0.013002818344862926,0.004227517294388932,0.007366128619011017,0.05124263387138099
93,MACON,0.5635311763445469,0.3884722519820013,0.01007070923505464,0.007285193914720377,0.00021427040925648167,0.0017141632740518534,0.028712234840368545
94,MADISON,0.07737976119004736,0.8384363951704356,0.009739176839436996,0.013341338136215063,0.0018010806483890335,0.006870789140150757,0.052431458875325195
95,MARION,0.2906147091108672,0.6490120746432492,0.006311745334796927,0.015093304061470912,0.001646542261251372,0.007135016465422613,0.030186608122941824
96,MCDUFFIE,0.3444634703196347,0.6334665144596652,0.002663622526636225,0.006944444444444444,0.001141552511415525,0.003424657534246575,0.007895738203957382
97,MCINTOSH,0.2784734645199761,0.6674120453190221,0.0026833631484794273,0.005068574836016696,0.0011926058437686344,0.006261180679785331,0.0389087656529517
98,MERIWETHER,0.32213782373936123,0.6150819072023428,0.0025624599615631004,0.005124919923126201,0.0015557792623775968,0.006314633476709069,0.047222476434519996
99,MILLER,0.21368421052631578,0.76,0.0014035087719298245,0.004561403508771929,0.0014035087719298245,0.0017543859649122807,0.01719298245614035
