county,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN
LAMAR,53.63,68.51,0,71.55,74.72,75,68.42,44.44,0,40,50,0,26.67,80,0,42.37,61.29,0,43.08,53.96,0
LANIER,47.91,58.6,0,60.51,58.61,100,53.33,60.71,0,39.68,47.95,0,33.33,61.54,0,55.17,46.51,0,40.33,52.23,0
LAURENS,51.38,64.17,41.67,74.84,75.75,84.62,72.64,70.59,50,44.52,48.43,0,25,42.42,100,52.14,56.21,0,37.96,49.48,83.33
LEE,61.21,70.56,27.27,70.99,73.32,53.33,59.17,65.38,50,49.25,58.43,50,39.29,60,0,55.05,62.79,0,43.81,50.12,36.84
LIBERTY,53.55,60.76,33.33,55.54,56.26,77.78,35.62,52.85,0,35.13,39.99,0,39.53,46.15,0,41.75,44.84,0,26.17,35.8,66.67
LINCOLN,63.13,72.64,0,77.23,77.27,0,75,58.33,0,53.33,42.86,0,28.57,71.43,0,40.91,61.11,100,48.5,61.27,0
LONG,49.16,57.93,0,61.56,59.32,40,45.83,52.44,0,39.78,38.76,0,66.67,57.89,0,49.49,51.64,50,31.35,37.5,57.14
LOWNDES,43.25,55.11,45.45,62.94,64.07,57.14,49.66,55.46,33.33,38.6,43.81,100,46.21,49.62,0,39.68,49.47,100,33.65,40.15,30.23
LUMPKIN,34.26,56.32,0,69.1,70.92,90,61.9,63.93,0,45.18,58.76,0,57.38,67.39,0,55.24,49.57,0,42.77,48.59,71.43
MACON,53.33,65.85,0,70.85,71.63,100,62.22,67.86,0,25,47.17,0,33.33,0,0,26.32,13.64,0,41.98,50.78,100
MADISON,54.05,71.44,0,72.94,73.53,73.08,62.63,68.85,0,47.46,53.7,0,60,52.17,0,50,61.29,100,44.51,51.23,50
MARION,59.00,76.54,0,75.07,73.51,60,40.91,56,0,50.98,63.04,0,50,57.14,0,53.33,69.23,0,49.57,55.43,100
MCDUFFIE,50.94,65.63,0,71.7,72.3,0,48,50,0,40.3,54.12,0,40,57.14,0,48.39,56.76,0,58.44,53.52,0
MCINTOSH,59.69,73.4,0,69.9,69.58,100,43.75,64.71,0,44.44,34.62,0,60,45.45,0,55.26,42,0,45.87,57.28,0
MERIWETHER,54.83,70.67,0,73.2,74.43,83.33,64.71,73.91,0,51.22,59.32,0,50,60,100,57.41,54.41,100,38.87,54.34,0
MILLER,46.37,61.83,0,73.19,75.36,0,50,75,0,45.45,44.44,0,0,66.67,0,28.57,33.33,100,38.89,42,0
MITCHELL,48.58,65.13,50,71.29,73.44,71.43,95.24,68.97,0,37.5,34.94,0,66.67,28.57,0,26.83,32.5,0,32.28,41.55,62.5
MONROE,58.56,72.16,50,75.3,77.37,75,68.75,76.06,100,45.26,65,0,29.41,58.62,0,54.64,61.26,100,52.56,62.34,36.36
MONTGOMERY,56.37,68.96,100,73.91,75.45,66.67,60,37.5,0,44.23,40.35,0,66.67,50,0,58.33,31.58,0,32.35,36.69,100
MORGAN,56.44,72.34,75,80.12,81.44,57.14,62.07,70,0,57.97,62.67,0,50,55.56,0,48.65,60.87,0,52.65,63.96,100
MURRAY,39.47,49.18,0,68.7,68.9,83.33,45.45,60.61,0,44.64,59.46,66.67,42.11,56.25,0,53.01,53.57,0,41.68,47.32,66.67
MUSCOGEE,49.92,62.05,34.78,64.18,65.89,59.74,53.23,62.12,44.44,45.78,50.24,63.64,41.13,46.1,100,43.31,51.42,42.86,38.31,46.9,46.67
NEWTON,57.74,69.66,25,71.13,73.5,87.5,58.41,58.48,100,46.9,54.45,100,46.67,50.67,0,48.84,56.75,100,36.88,45.25,85.71
OCONEE,61.92,72.2,33.33,82.25,83.7,76,74.22,76.03,100,65.62,75.3,66.67,56.25,77.78,0,65.84,75.84,50,62.05,67.96,68.42
OGLETHORPE,56.99,72.36,0,76.41,79.19,45.45,57.14,65,0,55.45,59.34,0,44.44,100,0,66,59.26,100,49.28,55.16,66.67
PAULDING,62.55,72.87,74.19,70.28,73.47,82.43,57.42,68.38,100,57.52,65.59,71.43,50,61.31,100,56.89,65.43,100,52.85,60.76,76.6
PEACH,52.93,65.39,80,72.41,72.61,62.5,59.09,63.77,0,42.24,55.63,0,72.22,64.29,0,56.86,55.96,0,41.71,51.24,33.33
PICKENS,44.44,54.81,0,71.65,73.02,0,62.22,58.49,0,53.77,58,0,47.37,85,0,56.86,64.62,0,39.62,44.33,0
PIERCE,50.00,60.97,50,72.98,73.94,68.75,47.06,64.29,100,47.92,53.62,0,58.33,63.64,0,50,35.48,0,44.05,49.14,66.67
PIKE,59.86,75.92,0,76.95,78.75,90,85.71,70,0,55.56,67.92,0,75,60,0,56.82,76.19,0,52.75,62.94,100
POLK,51.70,65.29,66.67,71.87,71.98,68,48.39,70.37,0,43.6,62.6,100,30,61.54,0,48.31,50.43,100,42.86,53.49,40
PULASKI,47.40,61.96,0,72.51,72.53,100,81.25,75,0,51.85,53.85,0,25,75,0,37.14,51.22,0,39.66,43.69,0
PUTNAM,55.04,68.92,100,77.47,78.54,66.67,40,65.12,0,51.33,57.46,0,53.33,66.67,0,46.67,56,0,47.7,56.06,40
QUITMAN,62.02,64.73,0,69.71,68,0,66.67,50,0,66.67,62.5,0,50,44.44,0,60,66.67,0,42.55,46.15,0
RABUN,44.12,46.34,0,73.37,74.52,61.11,80,59.26,0,39.39,55.65,0,38.46,55.56,0,62.16,58.97,0,52.58,54.65,100
RANDOLPH,57.62,70.25,40,78.42,76.06,0,40,50,0,75,36.36,0,33.33,75,0,44.44,66.67,0,26.6,59.52,25
RICHMOND,52.77,65.17,33.99,61.9,64.67,51.3,46.26,53.83,14.29,42.51,46.46,15.38,35.95,46.86,0,42.88,49.58,31.58,35.75,45.76,28.05
